ind	h	I01	I02	b1	b2	s	a
0	1.03304	-0.00089424	0.156414	1.22394	1.17533	1.33084	-0.287743
1	1.03304	-0.00089424	0.156414	1.22394	1.17533	1.33084	-0.287743
2	1.03304	-0.00089424	0.156414	1.22394	1.17533	1.33084	-0.287743
3	1.03304	-0.00089424	0.156414	1.22394	1.17533	1.33084	-0.287743
4	1.03304	-0.00089424	0.156414	1.22394	1.17533	1.33084	-0.287743
5	1.03304	-0.00089424	0.156414	1.22394	1.17533	1.33084	-0.287743
6	1.03304	-0.00089424	0.156414	1.22394	1.17533	1.33084	-0.287743
7	1.03304	-0.00089424	0.156414	1.22394	1.17533	1.33084	-0.287743
8	1.03304	-0.00089424	0.156414	1.22394	1.17533	1.33084	-0.287743
9	1.03304	-0.00089424	0.156414	1.22394	1.17533	1.33084	-0.287743
10	1.03304	-0.00089424	0.156414	1.22394	1.17533	1.33084	-0.287743
11	1.03304	-0.00089424	0.156414	1.22394	1.17533	1.33084	-0.287743
12	1.03304	-0.00089424	0.156414	1.22394	1.17533	1.33084	-0.287743
13	1.03304	-0.00089424	0.156414	1.22394	1.15918	1.33084	-0.287743
14	1.03304	-0.00089424	0.156414	1.22394	1.15918	1.33084	-0.287743
15	1.03304	-0.00089424	0.156414	1.22394	1.15918	1.33084	-0.287743
16	1.03304	-0.00089424	0.156414	1.22394	1.15918	1.33084	-0.287743
17	1.03304	-0.00089424	0.156414	1.22394	1.15918	1.33084	-0.287743
18	1.03304	-0.00089424	0.156414	1.22394	1.15918	1.33084	-0.287743
19	1.19966	-0.00089424	0.212415	1.26548	0.987144	1.38873	-0.198892
20	1.19966	-0.00089424	0.212415	1.26548	0.987144	1.38873	-0.198892
21	1.19966	-0.00089424	0.212415	1.26548	0.987144	1.38873	-0.198892
22	1.19966	-0.00089424	0.212415	1.26548	0.987144	1.38873	-0.198892
23	1.19966	-0.00089424	0.212415	1.26548	0.987144	1.38873	-0.198892
24	1.19966	-0.00089424	0.212415	1.26548	0.987144	1.38873	-0.198892
25	1.19966	-0.00089424	0.212415	1.26548	0.987144	1.38873	-0.198892
26	1.19966	-0.00089424	0.212415	1.26548	0.987144	1.38873	-0.198892
27	1.19966	-0.00089424	0.212415	1.26548	0.987144	1.38873	-0.198892
28	1.19966	-0.00089424	0.212415	1.26548	0.987144	1.38873	-0.198892
29	1.19966	-0.00089424	0.212415	1.26548	0.987144	1.38873	-0.198892
