ind	h	I01	I02	b1	b2	s	a
0	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
1	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
2	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
3	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
4	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
5	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
6	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
7	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
8	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
9	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
10	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.746233
11	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.746233
12	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.746233
13	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.746233
14	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.746233
15	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
16	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
17	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
18	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
19	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
20	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
21	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
22	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
23	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
24	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
25	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
26	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
27	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
28	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
29	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
30	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
31	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
32	1.18395	-0.0509823	1.02611	-1.05083	0.359317	0.197067	0.665435
33	1.18395	-0.0509823	1.02611	-1.05083	0.359317	0.197067	0.665435
34	1.18395	-0.0509823	1.02611	-1.05083	0.359317	0.197067	0.665435
35	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
36	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
37	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
38	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
39	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
40	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.665435
41	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
42	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
43	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
44	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
45	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
46	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
47	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
48	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
49	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
50	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
51	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
52	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
53	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
54	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
55	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
56	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
57	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
58	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
59	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
60	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
61	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
62	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
63	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
64	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
65	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
66	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
67	1.18395	0.00653157	1.02611	-1.05083	0.359317	0.197067	0.667208
68	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
69	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
70	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
71	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
72	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
73	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
74	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
75	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
76	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
77	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
78	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
79	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
80	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
81	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
82	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
83	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
84	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
85	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
86	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
87	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
88	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
89	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
90	1.18395	0.00653157	0.983522	-1.05083	0.321519	0.156816	0.667208
91	1.18395	0.00653157	0.983522	-1.05083	0.337986	0.156816	0.667208
92	1.18395	0.00653157	0.983522	-1.05083	0.337986	0.156816	0.667208
93	1.18395	0.00653157	0.983522	-1.05083	0.337986	0.156816	0.667208
94	1.18395	0.00653157	0.983522	-1.05083	0.337986	0.156816	0.667208
95	1.18395	0.00653157	0.983522	-1.05083	0.337986	0.156816	0.667208
96	1.18395	0.00653157	0.983522	-1.05083	0.337986	0.156816	0.667208
97	1.18395	0.00653157	0.983522	-1.05083	0.337986	0.156816	0.667208
98	1.18395	0.00653157	0.983522	-1.05083	0.337986	0.156816	0.667208
99	1.18395	0.00653157	0.983522	-1.05083	0.337986	0.156816	0.667208
100	1.18395	0.00653157	0.983522	-1.05083	0.337986	0.156816	0.667208
101	1.18395	0.00653157	0.983522	-1.05083	0.337986	0.156816	0.667208
102	1.18395	0.00653157	0.983522	-1.05083	0.337986	0.156816	0.667208
103	1.18395	0.00653157	0.983522	-1.05083	0.337986	0.156816	0.667208
104	1.19516	-0.0557159	1.02611	-1.02369	0.310806	0.0905731	0.612112
105	1.19516	-0.0557159	1.02611	-1.02369	0.310806	0.0905731	0.612112
106	1.19516	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
107	1.19516	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
108	1.19516	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
109	1.19516	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
110	1.19516	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
111	1.19516	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
112	1.19516	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
113	1.19516	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
114	1.19516	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
115	1.19516	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
116	1.19516	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
117	1.19516	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
118	1.19516	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
119	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
120	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
121	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
122	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
123	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
124	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
125	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
126	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
127	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
128	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
129	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
130	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
131	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
132	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
133	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
134	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
135	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
136	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
137	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
138	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
139	1.15585	0.00653157	1.02611	-1.02369	0.310806	0.0905731	0.658933
140	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
141	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
142	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
143	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
144	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
145	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
146	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
147	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
148	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
149	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
150	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
151	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
152	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
153	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
154	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
155	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.717717
156	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.717717
157	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.717717
158	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.717717
159	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.717717
160	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.717717
161	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.717717
162	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
163	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
164	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
165	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
166	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
167	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
168	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
169	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
170	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
171	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
172	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
173	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
174	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
175	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
176	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
177	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
178	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
179	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
180	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
181	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
182	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
183	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
184	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
185	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
186	1.31738	0.00653157	1.10213	-1.00007	0.279984	0.0749683	0.674527
187	1.31738	-0.0180836	1.09017	-0.999412	0.330582	0.0749683	0.674527
188	1.31738	-0.0180836	1.09017	-0.999412	0.330582	0.0749683	0.674527
189	1.31738	-0.0180836	1.09017	-0.999412	0.330582	0.0749683	0.674527
190	1.31738	-0.0180836	1.09017	-0.999412	0.330582	0.0749683	0.674527
191	1.31738	-0.0180836	1.09017	-0.999412	0.330582	0.0749683	0.674527
192	1.31738	-0.0180836	1.09017	-0.999412	0.330582	0.0749683	0.674527
193	1.31738	-0.0180836	1.09017	-0.999412	0.330582	0.0749683	0.674527
194	1.31738	-0.0180836	1.09017	-0.999412	0.330582	0.0749683	0.674527
195	1.31738	-0.0180836	1.09017	-0.999412	0.330582	0.0749683	0.674527
196	1.31738	-0.0180836	1.09017	-0.999412	0.330582	0.0749683	0.674527
197	1.31738	-0.0180836	1.09017	-0.999412	0.330582	0.0749683	0.674527
198	1.31738	0.00653157	1.09017	-0.999412	0.330582	0.0749683	0.674527
199	1.31738	0.00653157	1.09017	-0.999412	0.330582	0.0749683	0.674527
200	1.31738	0.00653157	1.09017	-0.999412	0.330582	0.0749683	0.674527
201	1.31738	0.00653157	1.09017	-0.999412	0.330582	0.0749683	0.674527
202	1.31738	0.00653157	1.14152	-1.00007	0.330582	0.0749683	0.674527
203	1.31738	0.00653157	1.14152	-1.00007	0.330582	0.0749683	0.674527
204	1.31738	0.00653157	1.14152	-1.00007	0.330582	0.0749683	0.674527
205	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
206	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
207	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
208	1.26613	-0.0134394	1.09017	-1.00007	0.330582	0.0523182	0.661524
209	1.26613	-0.0134394	1.09017	-1.00007	0.330582	0.0523182	0.661524
210	1.26613	-0.0134394	1.09017	-1.00007	0.330582	0.0523182	0.661524
211	1.26613	-0.0134394	1.09017	-1.00007	0.330582	0.0523182	0.661524
212	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
213	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
214	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
215	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
216	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
217	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
218	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
219	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
220	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
221	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
222	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
223	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
224	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
225	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
226	1.3462	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
227	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
228	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
229	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
230	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
231	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
232	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
233	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
234	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
235	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
236	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
237	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
238	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
239	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
240	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
241	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
242	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
243	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
244	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
245	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
246	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
247	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
248	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
249	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
250	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
251	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
252	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
253	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
254	1.31738	0.00653157	1.09017	-1.00007	0.330582	0.0523182	0.661524
