ind	h	I01	I02	b1	b2	s	a
0	1.03542	0.0717134	0.179511	0	0	0.211999	0
1	1.03542	0.0717134	0.179511	0	0	0.211999	0
2	1.03542	0.0717134	0.179511	0	0	0.211999	0
3	1.03542	0.0717134	0.179511	0	0	0.211999	0
4	1.03542	0.0717134	0.179511	0	0	0.211999	0
5	1.03542	0.00475361	0.179511	0	0	0.211999	0
6	1.03542	0.00475361	0.179511	0	0	0.211999	0
7	1.03542	0.00475361	0.179511	0	0	0.211999	0
8	1.03542	0.00475361	0.179511	0	0	0.211999	0
9	1.03542	0.00475361	0.179511	0	0	0.211999	0
10	1.03542	0.00475361	0.179511	0	0	0.211999	0
11	1.03542	0.00475361	0.179511	0	0	0.211999	0
12	1.03542	0.00475361	0.179511	0	0	0.211999	0
13	1.03542	0.00475361	0.179511	0	0	0.211999	0
14	1.03542	0.00475361	0.179511	0	0	0.211999	0
15	1.03542	0.00475361	0.179511	0	0	0.211999	0
16	1.03542	0.00475361	0.179511	0	0	0.211999	0
17	1.03542	0.00475361	0.179511	0	0	0.211999	0
18	1.03542	0.00475361	0.179511	0	0	0.211999	0
19	1.03542	0.00475361	0.179511	0	0	0.211999	0
20	1.03542	0.00475361	0.179511	0	0	0.211999	0
21	1.03542	0.00475361	0.179511	0	0	0.211999	0
22	1.03542	0.00475361	0.179511	0	0	0.211999	0
23	1.03542	0.00475361	0.179511	0	0	0.211999	0
24	1.03542	0.00475361	0.168535	0	0	0.211999	0
25	1.03542	0.00475361	0.168535	0	0	0.211999	0
26	1.03542	0.00475361	0.179511	0	0	0.211999	0
27	1.03542	0.00475361	0.179511	0	0	0.211999	0
28	1.03542	0.00475361	0.179511	0	0	0.211999	0
29	1.03542	0.00475361	0.179511	0	0	0.211999	0
30	1.03542	0.00475361	0.179511	0	0	0.211999	0
31	1.03542	0.00475361	0.179511	0	0	0.211999	0
32	1.03542	0.00475361	0.179511	0	0	0.211999	0
33	1.03542	0.00475361	0.179511	0	0	0.211999	0
34	1.03542	0.00475361	0.179511	0	0	0.211999	0
35	1.03542	0.00475361	0.179511	0	0	0.211999	0
36	1.03542	0.00475361	0.179511	0	0	0.211999	0
37	1.03542	0.00475361	0.179511	0	0	0.211999	0
38	1.03542	0.00475361	0.179511	0	0	0.211999	0
39	1.03542	0.00475361	0.179511	0	0	0.211999	0
40	1.03542	0.00475361	0.179511	0	0	0.211999	0
41	1.03542	0.00475361	0.179511	0	0	0.211999	0
42	1.03542	0.00475361	0.179511	0	0	0.211999	0
43	1.03542	0.00475361	0.179511	0	0	0.211999	0
44	1.03542	0.00475361	0.179511	0	0	0.211999	0
45	1.03542	0.00475361	0.179511	0	0	0.211999	0
46	0.967271	0.00475361	0.186928	0	0	0.203006	0
47	0.967271	0.00475361	0.186928	0	0	0.203006	0
48	0.967271	0.00475361	0.186928	0	0	0.203006	0
49	0.967271	0.00475361	0.186928	0	0	0.203006	0
50	0.967271	0.00475361	0.186928	0	0	0.203006	0
51	0.967271	0.00475361	0.186928	0	0	0.203006	0
52	0.967271	0.00475361	0.186928	0	0	0.203006	0
53	0.967271	0.00475361	0.186928	0	0	0.203006	0
54	0.967271	0.00475361	0.186928	0	0	0.203006	0
55	0.967271	0.00475361	0.186928	0	0	0.203006	0
56	0.967271	0.00475361	0.186928	0	0	0.203006	0
57	0.967271	0.00475361	0.186928	0	0	0.203006	0
58	0.967271	0.00475361	0.186928	0	0	0.203006	0
59	0.967271	0.00475361	0.186928	0	0	0.203006	0
60	0.967271	0.00475361	0.186928	0	0	0.203006	0
61	0.967271	0.00475361	0.186928	0	0	0.203006	0
62	0.967271	0.00475361	0.186928	0	0	0.203006	0
63	0.967271	0.00475361	0.186928	0	0	0.203006	0
64	0.967271	0.00475361	0.186928	0	0	0.203006	0
65	0.967271	0.00475361	0.186928	0	0	0.203006	0
66	0.967271	0.00475361	0.186928	0	0	0.203006	0
67	0.967271	0.00475361	0.186928	0	0	0.203006	0
68	0.967271	0.00475361	0.186928	0	0	0.203006	0
69	0.967271	0.00475361	0.186928	0	0	0.203006	0
70	0.967271	0.00475361	0.186928	0	0	0.203006	0
71	0.967271	0.00475361	0.186928	0	0	0.203006	0
72	0.967271	0.00475361	0.186928	0	0	0.203006	0
73	0.967271	0.00475361	0.186928	0	0	0.203006	0
