ind	h	I01	I02	b1	b2	s	a
0	1	0.00445211	-0.472106	-1.02138	-1.81854	-0.0356186	0.719309
1	1.01237	0.00445211	-0.474919	-1.00453	-1.74612	0.0213151	0.80268
2	1	0.00692964	0.872491	1.94386	0.221791	0.481129	0.786541
3	1.07307	-0.00754859	-0.885472	-0.657823	0.500709	0.224537	0.504749
4	1.01237	0.00445211	-0.553205	-0.984638	-1.74612	0.0213151	0.719309
5	1.03418	0.00692964	0.872491	2.00715	0.250954	0.481129	0.786541
6	1.01237	0.0302832	-0.472106	-1.02138	-1.74612	0.0147158	0.697659
7	1.07307	-0.00754859	-0.885472	-0.657823	0.500709	0.224537	0.504749
8	1	0.00281382	-0.132234	-0.300622	1.74157	0.328954	0.774789
9	1	0.00445211	-0.472106	-1.02138	-1.81854	-0.0155228	0.719309
10	1	0.00281382	-0.14039	-0.300622	1.74157	0.328954	0.725204
11	1	0.00445211	-0.472106	-0.970366	-1.81854	-0.0155228	0.789151
12	1	0.00692964	0.872491	1.94386	0.250954	0.424205	0.786541
13	0.989323	0.00445211	-0.472106	-0.879405	-1.81922	0.0509684	0.719309
14	1	0.00692964	0.793277	1.94386	0.250954	0.471547	0.786541
15	1	0.021379	-0.24745	-1.03048	0.00604558	0.127783	0.551867
16	1.00293	0.00445211	-0.451778	-1.02138	-1.81854	-0.059792	0.719309
17	1.01237	0.00445211	-0.474919	-1.00453	-1.74612	0.0213151	0.80268
18	1	0.00445211	-0.472106	-1.02138	-1.81854	-0.0155228	0.719309
19	1	0.00445211	-0.531765	-1.02138	-1.81854	-0.059792	0.719309
20	1	0.00445211	-0.472106	-1.02138	-1.84783	-0.059792	0.719309
21	1	0.00445211	-0.472106	-1.02138	-1.81854	-0.059792	0.719309
22	1	0.00281382	-0.14039	-0.300622	1.74157	0.328954	0.725204
23	1.07307	-0.0106263	-0.96552	-0.718956	0.330629	0.224537	0.504749
24	1	0.021379	-0.24745	-1.03048	0.00604558	0.127783	0.551867
25	1	0.00445211	-0.472106	-1.02138	-1.75759	0.0509684	0.64674
26	1	0.00445211	-0.472106	-1.02138	-1.81854	-0.0155228	0.719309
27	1.07307	-0.0106263	-0.96552	-0.718956	0.413214	0.166253	0.504749
28	1.01237	0.00445211	-0.474919	-1.00453	-1.74612	0.0213151	0.774334
29	1	0.00692964	0.792413	2.02855	0.250954	0.481129	0.786541
30	0.93524	-0.0296638	-0.50675	-1.02138	-1.81854	0.0509684	0.740531
31	1.07307	-0.0106263	-0.96552	-0.718956	0.394957	0.166253	0.567375
32	0.948619	0.00445211	-0.472106	-1.02138	-1.81854	-0.059792	0.737613
33	1	0.00445211	-0.472106	-1.05185	-1.83787	0.0688616	0.734765
34	1.09276	-0.0106263	-0.898311	-0.657823	0.525944	0.286056	0.534527
35	1.00293	0.00445211	-0.472106	-1.02138	-1.81854	-0.059792	0.719309
36	1.00293	0.00445211	-0.472106	-1.02138	-1.81854	-0.059792	0.719309
37	1	0.00692964	0.872491	1.94386	0.250954	0.481129	0.786541
38	0.989323	0.00445211	-0.472106	-0.935187	-1.81854	0.0509684	0.719309
39	1	0.021379	-0.24745	-1.03048	-0.00626066	0.127783	0.543556
40	1.01237	0.00445211	-0.488748	-1.02138	-1.74612	0.0147158	0.697659
