ind	h	I01	I02	b1	b2	s	a
0	1.24111	-0.000312838	-0.297556	0.133381	-1.64107	0.0758541	-0.262507
1	1.16335	-0.000312838	-0.113367	0.104466	-1.62561	0.116405	-0.191574
2	1.20476	-0.000312838	-0.0740708	0.140363	-1.62561	0.179722	-0.262507
3	1.34236	-0.000312838	-0.287697	0.0388199	-1.68155	0.131193	-0.296132
4	1.25392	-0.000312838	0.0158557	0.389476	-1.51488	0.129245	-0.254747
5	1.1804	0.00831864	-0.0299084	0.328582	-1.58193	0.20918	-0.194171
6	1.15966	-0.000312838	0.0171389	0.319322	-1.58193	0.233411	-0.269822
7	1.16335	0.00930903	-0.113367	0.140363	-1.62561	0.116405	-0.191574
8	1.20476	-0.000312838	-0.113367	0.140363	-1.62561	0.179722	-0.262507
9	1.20476	-0.000312838	-0.113367	0.140363	-1.62561	0.22148	-0.262507
10	1.34236	-0.000312838	-0.298486	0.0601453	-1.63116	0.131193	-0.296132
11	1.36582	-0.000312838	0.0158557	0.391947	-1.48566	0.133243	-0.246435
12	1.20476	-0.000312838	-0.137724	0.0711478	-1.59032	0.197311	-0.195061
13	1.20476	-0.000312838	-0.137724	0.140363	-1.62561	0.197311	-0.173971
14	1.16335	-0.000312838	-0.113367	0.140363	-1.62561	0.116405	-0.208404
15	1.2407	0.00261814	-0.0093248	0.375689	-1.62894	0.0305629	-0.228067
16	1.36582	-0.000312838	0.0158557	0.391947	-1.51488	0.133243	-0.246435
17	1.20176	-0.000312838	0.0171389	0.319322	-1.58193	0.233411	-0.269822
18	1.36582	-0.000312838	0.0158557	0.391947	-1.51488	0.133243	-0.246435
19	1.15966	-0.000312838	-0.0299084	0.328582	-1.58193	0.289705	-0.194171
20	1.22873	-0.000312838	-0.307986	0.133381	-1.64107	0.0758541	-0.262507
21	1.1804	0.00831864	-0.0299084	0.328582	-1.58193	0.20918	-0.194171
22	1.20476	-0.000312838	-0.137724	0.140363	-1.62561	0.197311	-0.195061
23	1.22905	0.00261814	-0.0093248	0.375689	-1.62894	0.0305629	-0.228067
24	1.36582	-0.000312838	0.0158557	0.391947	-1.48566	0.133243	-0.246435
25	1.20297	-0.000312838	-0.0299084	0.308686	-1.57063	0.288174	-0.194171
26	1.22905	0.00261814	-0.0093248	0.375689	-1.62894	0.0305629	-0.228067
27	1.34236	-0.000312838	-0.287697	0.0601453	-1.68155	0.131193	-0.296132
28	1.34236	-0.000312838	-0.287697	0.0833546	-1.63927	0.131193	-0.296132
29	1.20476	-0.000312838	-0.113367	0.140363	-1.62561	0.22148	-0.262507
30	1.15966	-0.000312838	-0.090039	0.319322	-1.58193	0.280833	-0.269822
31	1.15356	-0.00386934	-0.0468238	0.442614	-1.49704	0.0642468	-0.273648
32	1.25392	-0.000312838	0.0158557	0.391947	-1.40965	0.0826175	-0.159974
33	1.20476	-0.000312838	-0.113367	0.140363	-1.62561	0.22148	-0.262507
34	1.1804	0.00831864	-0.0299084	0.328582	-1.58193	0.20918	-0.194171
35	1.0676	-0.00386934	-0.0468238	0.375689	-1.49704	0.0642468	-0.228067
36	1.2395	-0.000312838	-0.0198108	0.294706	-1.53394	0.300949	-0.0299495
37	1.19569	-0.000312838	-0.307986	0.133381	-1.64107	0.0758541	-0.208538
38	1.19569	-0.000312838	-0.307986	0.133381	-1.64107	0.0758541	-0.208538
39	1.15966	-0.000312838	0.033914	0.319322	-1.58193	0.148004	-0.214199
40	1.22905	0.00261814	-0.0093248	0.375689	-1.62894	0.0305629	-0.228067
41	1.34236	-0.000312838	-0.287697	0.0522879	-1.68155	0.131193	-0.26463
42	1.15966	-0.000312838	0.0171389	0.319322	-1.58193	0.233411	-0.269822
43	1.21273	-0.000312838	-0.288055	0.125458	-1.64465	0.197311	-0.262507
44	1.36582	-0.000312838	0.0158557	0.391947	-1.51488	0.133243	-0.246435
45	1.36582	-0.000312838	0.0158557	0.391947	-1.55295	0.133243	-0.246435
46	1.17199	-0.000312838	0.0171389	0.304866	-1.58193	0.161323	-0.269822
47	1.15966	-0.000312838	-0.0299084	0.328582	-1.58193	0.289705	-0.120316
48	1.20476	-0.000312838	-0.137724	0.140363	-1.62561	0.197311	-0.195061
49	1.25392	-0.000312838	0.0158557	0.389476	-1.51488	0.129245	-0.254747
50	1.1804	0.00831864	-0.0299084	0.328582	-1.58193	0.20918	-0.197751
51	1.21013	-0.000312838	0.0158557	0.349914	-1.51488	0.129245	-0.254747
52	1.16335	-0.000312838	-0.113367	0.140363	-1.62561	0.158475	-0.208404
53	1.34236	-0.000312838	-0.329776	0.0601453	-1.63927	0.131193	-0.296132
54	1.20297	-0.000312838	-0.0299084	0.268117	-1.57063	0.288174	-0.170149
55	1.19569	-0.000312838	-0.307986	0.133381	-1.59733	0.0758541	-0.208538
56	1.22905	0.00261814	-0.0093248	0.375689	-1.62894	0.0305629	-0.228067
57	1.25392	-0.000312838	0.0171389	0.478778	-1.55393	0.132291	-0.28411
58	1.15966	-0.000312838	0.0479206	0.301962	-1.58193	0.166705	-0.269822
